t links init
c   fr       to      len  mode  type lanes vdfunc ul1 ul2 ul3 
a 601707 601709   0.10 cb           243 1.0  65       0       0       0
a 601708 601682   0.14 cb           343 2.0  68       0       0       0
a 601708 601718   0.10 cb           243 1.0  68       0       0       0
a 601708 602025   0.93 cb           243 2.0  69       0       0       0
a 601709 601708   0.15 cb           243 1.0  66       0       0       0
a 601712 720171   0.20 cg           900 1.0  95       0       0       0
a 601712 601694   0.56 cb           443 1.0  67       0       0       0
a 601712 601713   0.30 cb           242 1.0  66       0       0       9
a 601712 601716   0.43 cb           442 1.0  66       0       0       9
a 601713 601715   0.13 cb           113 4.0  72       0       0       0
a 601713 601717   0.38 cb           112 4.0  72       0       0       0
a 601714 601706   0.05 cb           113 4.0  72       0       0       0
a 601714 601715   0.35 cb           113 4.0  72       0       0       0
a 601715 601713   0.13 cb           113 4.0  72       0       0       0
a 601715 601714   0.35 cb           113 4.0  72       0       0       0
a 601716 601712   0.43 cb           442 1.0  66       0       0       9
a 601716 601722   0.44 cb           442 1.0  66       0       0       0
a 601717 601713   0.38 cb           112 4.0  72       0       0       0
a 601717 601723   0.37 cb           112 4.0  72       0       0       0
a 601718 601714   0.13 cb           243 2.0  68       0       0       0
a 601722 720172   0.50 cg           900 1.0  95       0       0       0
a 601722 601716   0.44 cb           442 1.0  66       0       0       0
a 601722 601725   0.66 cb           242 1.0  65       0       0       0
a 601723 601717   0.37 cb           112 4.0  72       0       0       0
a 601723 601725   0.45 cb           112 4.0  72       0       0       0
a 601725 601722   0.66 cb           242 1.0  65       0       0       0
a 601725 601723   0.45 cb           112 4.0  72       0       0       0
a 601725 604055   0.41 cb           112 4.0  72       5       0       0
a 601732 601613   0.55 cb           343 2.0  66       0       0       0
a 601732 601623   0.18 cb           443 1.0  65       0       0       0
a 601732 601654   0.16 cb           343 3.0  66       0       0       0
a 601732 601733   0.13 cb           343 2.0  66       0       0       0
a 601733 601693   0.22 cb           343 2.0  67       0       0       0
a 601733 601732   0.13 cb           343 4.0  67       0       0       0
a 601742 601692   0.93 cb           343 2.0  69       3       0       0
a 601742 601762   0.32 cb           343 2.0  65       0       0       0
a 601752 601757   0.90 cb           343 1.0  65       0       0       0
a 601752 601762   0.34 cb           343 1.0  66       0       0       0
a 601752 601764   0.53 cb           343 1.0  66       0       0       0
a 601757 601752   0.90 cb           343 1.0  65       0       0       0
a 601757 601792   0.68 cb           343 1.0  65       0       0       0
a 601762 601742   0.32 cb           343 2.0  66       0       0       0
a 601762 601752   0.34 cb           343 1.0  67       0       0       0
a 601762 601763   0.09 cb           343 2.3  67       0       0       0
a 601763 720175   0.40 cg           900 1.0  95       0       0       0
a 601763 601762   0.09 cb           343 2.3  67       0       0       0
a 601763 601765   0.20 cb           443 1.0  67       0       0       0
a 601763 601783   0.30 cb           343 2.3  67       0       0       0
a 601764 721174   0.32 c            900 1.0  95       0       0       0
a 601764 601752   0.53 cb           343 1.0  66       0       0       0
a 601764 601765   0.14 cb           443 1.0  67       0       0       0
a 601765 720174   0.81 c            900 1.0  95       0       0       0
a 601765 720176   0.15 cg           900 1.0  95       0       0       0
a 601765 601763   0.20 cb           443 1.0  67       0       0       0
a 601765 601764   0.14 cb           443 1.0  67       0       0       0
a 601772 720177   0.30 c            900 1.0  95       0       0       0
a 601772 601785   0.18 cb           443 2.0  66       0       0       0
a 601782 601783   0.09 cb           343 3.0  67       0       0       0
a 601782 604022   0.60 cb           342 3.0  65       0       0       9
a 601783 720178   0.19 cg           900 1.0  95       0       0       0
a 601783 601763   0.30 cb           343 3.3  67       0       0       0
a 601783 601782   0.09 cb           343 3.0  66       0       0       0
a 601783 601784   0.53 cb           343 2.0  66       0       0       0
a 601784 720175   0.40 cg           900 1.0  95       0       0       0
a 601784 720177   0.30 c            900 1.0  95       0       0       0
a 601784 722178   0.35 cg           900 1.0  95       0       0       0
a 601784 601783   0.53 cb           343 2.0  67       0       0       0
a 601784 601785   0.45 cb           343 2.0  67       0       0       0
a 601785 601772   0.18 cb           443 2.0  66       0       0       0
a 601785 601784   0.45 cb           343 2.0  67       0       0       0
a 601785 601786   0.30 cb           343 2.0  66       0       0       0
a 601785 601802   0.26 cb           343 1.5  67       0       0       0
a 601786 601785   0.30 cb           343 2.0  67       0       0       0
a 601786 601787   0.16 cb           343 2.0  67       0       0       0
a 601787 601786   0.16 cb           343 2.0  67       0       0       0
a 601787 601812   0.23 cb           343 2.0  67       0       0       0
a 601792 601757   0.68 cb           343 1.0  65       0       0       0
a 601792 601793   0.36 cb           443 1.0  66       0       0       0
a 601792 601795   0.40 cb           343 2.0  67       0       0       0
a 601793 720179   0.26 c            900 1.0  95       0       0       0
a 601793 601792   0.36 cb           443 1.0  66       0       0       0
a 601793 601803   0.27 cb           443 1.0  66       0       0       0
a 601794 601796   0.15 cb           243 1.0  66       0       0       0
a 601794 601804   0.47 cb           343 1.0  67       0       0       0
a 601794 601809   0.08 cb           343 2.0  67       0       0       0
a 601795 601792   0.40 cb           343 2.0  66       0       0       0
a 601795 601798   0.08 cb           243 1.0  66       0       0       0
a 601795 601882   0.11 cb           243 2.0  67       0       0       0
a 601796 601797   0.35 cb           143 2.0  68       0       0       0
a 601796 601809   0.15 cb           243 1.0  66       0       0       0
a 601796 601838   0.35 cb           143 3.0  68       0       0       0
a 601797 601012   0.50 cb           143 3.0  68       3       0       0
a 601797 601796   0.35 cb           143 2.0  68       0       0       0
a 601797 601799   0.17 cb           243 1.0  67       0       0       0
a 601798 601797   0.11 cb           243 1.0  66       0       0       0
a 601799 601795   0.13 cb           243 1.0  67       0       0       0
a 601802 720180   0.08 cg           900 1.0  95       0       0       0
a 601802 601785   0.26 cb           343 1.5  67       0       0       0
a 601802 601803   0.12 cb           343 1.5  67       0       0       0
a 601802 601805   0.48 cb           443 1.0  67       0       0       0
a 601803 601793   0.27 cb           443 1.0  66       0       0       0
a 601803 601802   0.12 cb           343 1.5  67       0       0       0
a 601803 601804   0.16 cb           343 1.5  67       0       0       0
a 601804 721179   0.30 cg           900 1.0  95       0       0       0
a 601804 724180   0.16 cg           900 1.0  95       0       0       0
a 601804 601794   0.47 cb           343 1.0  67       0       0       0
a 601804 601803   0.16 cb           343 1.5  67       0       0       0
a 601804 601806   0.49 cb           443 1.0  67       0       0       0
a 601805 721180   0.24 cg           900 1.0  95       0       0       0
a 601805 722180   0.29 cg           900 1.0  95       0       0       0
a 601805 601802   0.48 cb           443 1.0  67       0       0       0
a 601805 601806   0.28 cb           443 1.0  66       0       0       0
a 601805 601817   0.34 cb           443 1.0  67       0       0       0
a 601806 723180   0.12 cg           900 1.0  95       0       0       0
a 601806 601804   0.49 cb           443 1.0  67       0       0       0
a 601806 601805   0.28 cb           443 1.0  66       0       0       0
a 601806 601807   0.26 cb           443 1.0  66       0       0       0
a 601807 725180   0.20 c            900 1.0  95       0       0       0
a 601807 601806   0.26 cb           443 1.0  66       0       0       0
a 601807 601889   0.38 cb           443 1.0  66       0       0       0
a 601809 720188   0.18 c            900 1.0  95       0       0       0
a 601809 601794   0.08 cb           343 2.0  67       0       0       0
a 601809 601883   0.03 cb           343 2.0  66       0       0       0
a 601812 720182   0.13 c            900 1.0  95       0       0       0
a 601812 601787   0.23 cb           343 2.0  67       0       0       0
a 601812 601813   0.26 cb           343 2.0  66       0       0       0
a 601812 601816   0.59 cb           443 1.0  66       0       0       0
a 601813 721182   0.16 cg           900 1.0  95       0       0       0
a 601813 601812   0.26 cb           343 2.0  66       0       0       0
a 601813 601814   0.20 cb           343 2.0  67       0       0       0
a 601813 601817   0.15 cb           443 1.0  67       0       0       0
a 601814 601813   0.20 cb           343 2.0  67       0       0       0
a 601814 601815   0.40 cb           443 1.0  67       0       0       0
a 601814 601852   0.35 cb           343 2.0  67       0       0       0
a 601815 721181   0.05 cg           900 1.0  95       0       0       0
a 601815 601814   0.40 cb           443 1.0  67       0       0       0
a 601816 720181   0.21 cg           900 1.0  95       0       0       0
a 601816 721178   0.34 cg           900 1.0  95       0       0       0
a 601816 601812   0.59 cb           443 1.0  66       0       0       0
a 601817 720183   0.24 cg           900 1.0  95       0       0       0
a 601817 721183   0.46 c            900 1.0  95       0       0       0
a 601817 601805   0.34 cb           443 1.0  67       0       0       0
a 601817 601813   0.15 cb           443 1.0  67       0       0       0
a 601832 601833   0.13 cb           343 2.0  67       0       0       0
a 601832 601838   0.16 cb           143 3.0  68       0       0       0
a 601832 601857   0.90 cb           143 2.0  68       0       0       0
a 601833 601835   0.16 cb           343 2.0  67       0       0       0
a 601833 601837   0.18 cb           343 2.0  67       0       0       0
a 601833 601872   0.19 cb           343 1.5  67       0       0       0
a 601835 720187   0.22 c            900 1.0  95       0       0       0
a 601835 723183   0.07 c            900 1.0  95       0       0       0
a 601835 601833   0.16 cb           343 2.0  67       0       0       0
a 601835 601839   0.17 cb           443 1.0  67       0       0       0
a 601835 601844   0.27 cb           343 2.0  67       0       0       0
a 601837 601833   0.18 cb           343 2.0  67       0       0       0
a 601837 601838   0.13 cb           343 1.0  67       0       0       0
a 601838 601796   0.35 cb           143 3.0  68       0       0       0
a 601838 601832   0.16 cb           143 3.0  68       0       0       0
a 601839 721183   0.50 c            900 1.0  95       0       0       0
a 601839 722183   0.25 c            900 1.0  95       0       0       0
a 601839 601835   0.17 cb           443 1.0  67       0       0       0
a 601844 601835   0.27 cb           343 2.0  67       0       0       0
a 601844 601855   0.32 cb           343 2.0  67       0       0       0
a 601852 720184   0.26 cg           900 1.0  95       0       0       0
a 601852 721184   0.60 cg           900 1.0  95       0       0       0
a 601852 601814   0.35 cb           343 2.0  67       0       0       0
a 601852 601853   0.19 cb           343 2.0  67       0       0       0
a 601853 720185   0.34 cg           900 1.0  95       0       0       0
a 601853 601852   0.19 cb           343 2.0  67       0       0       0
a 601853 601854   0.21 cb           343 3.0  67       0       0       0
a 601854 601853   0.21 cb           343 2.0  67       0       0       0
a 601854 601855   0.15 cb           343 2.0  67       0       0       0
a 601854 601867   0.31 cb           343 1.0  65       0       0       0
a 601855 721185   0.10 cg           900 1.0  95       0       0       0
a 601855 601844   0.32 cb           343 2.0  67       0       0       0
a 601855 601854   0.15 cb           343 2.0  67       0       0       0
a 601855 601858   0.63 cb           342 2.0  68       0       0       9
a 601855 601862   0.16 cb           343 1.0  67       0       0       0
a 601856 601857   0.36 cb           143 2.0  68       0       0       9
a 601856 603013   0.39 cb           142 1.0  68       0       0       0
a 601856 603428   0.59 cb           122 2.0  68       0       0       0
a 601857 601832   0.90 cb           143 2.0  68       0       0       0
a 601857 601856   0.36 cb           143 2.0  68       0       0       9
a 601857 601867   0.18 cb           343 1.0  65       0       0       0
a 601858 601855   0.63 cb           342 2.0  68       0       0       9
a 601858 603013   0.29 cb           342 1.0  68       0       0       0
a 601858 603018   0.29 cb           342 1.0  68       0       0       0
a 601862 720192   0.79 cg           900 1.0  95       0       0       0
a 601862 721187   0.40 cg           900 1.0  95       0       0       0
a 601862 601855   0.16 cb           343 3.0  67       0       0       0
a 601862 601863   0.24 cb           343 1.0  67       0       0       0
a 601863 721186   0.13 cg           900 1.0  95       0       0       0
a 601863 601862   0.24 cb           343 1.0  67       0       0       0
a 601863 601864   0.20 cb           343 1.0  67       0       0       0
a 601864 601863   0.20 cb           343 1.0  67       0       0       0
a 601864 601865   0.07 cb           343 2.0  67       0       0       0
a 601864 601866   0.35 cb           443 1.0  67       0       0       0
a 601865 722192   0.22 cg           900 1.0  95       0       0       0
a 601865 601864   0.07 cb           343 2.0  67       0       0       0
a 601865 601875   0.41 cb           343 1.5  67       0       0       0
a 601866 721192   0.26 cg           900 1.0  95       0       0       0
a 601866 601864   0.35 cb           443 1.0  67       0       0       0
a 601867 720186   0.27 c            900 1.0  95       0       0       0
a 601867 601854   0.31 cb           343 1.0  65       0       0       0
a 601867 601857   0.18 cb           343 1.0  65       0       0       0
a 601867 601944   0.52 cb           342 1.0  65       0       0       9
a 601872 601833   0.19 cb           343 1.5  67       0       0       0
a 601872 601887   0.28 cb           343 1.5  67       0       0       0
a 601872 601888   0.26 cb           443 1.0  67       0       0       0
a 601875 721189   0.20 cg           900 1.0  95       0       0       0
a 601875 601865   0.41 cb           343 1.5  67       0       0       0
a 601875 601878   0.13 cb           443 1.0  67       0       0       0
a 601875 601886   0.22 cb           343 2.0  67       0       0       0
a 601878 722187   0.14 c            900 1.0  95       0       0       0
a 601878 601875   0.13 cb           443 1.0  67       0       0       0
a 601878 601887   0.22 cb           443 1.0  67       0       0       0
a 601882 601028   0.20 cb           243 2.0  66       0       0       0
a 601882 601795   0.11 cb           243 2.0  66       0       0       0
a 601883 601036   0.08 cb           343 2.0  67       0       0       0
a 601883 601809   0.03 cb           343 2.0  67       0       0       0
a 601883 601889   0.41 cb           443 1.0  67       0       0       0
a 601884 722188   0.28 cg           900 1.0  95       0       0       0
a 601884 601029   0.07 cb           343 1.0  67       0       0       0
a 601884 601885   0.63 cb           343 1.0  66       0       0       0
a 601885 601884   0.63 cb           343 1.0  66       0       0       0
a 601885 601886   0.25 cb           343 2.0  66       0       0       0
a 601886 601875   0.22 cb           343 2.0  67       0       0       0
a 601886 601885   0.25 cb           343 2.0  66       0       0       0
a 601886 601887   0.14 cb           343 1.5  67       0       0       0
a 601886 601893   0.36 cb           343 2.0  67       0       0       0
a 601887 723188   0.21 cg           900 1.0  95       0       0       0
a 601887 601872   0.28 cb           343 1.5  67       0       0       0
a 601887 601878   0.22 cb           443 1.0  67       0       0       0
a 601887 601886   0.14 cb           343 1.5  67       0       0       0
a 601888 721188   0.21 c            900 1.0  95       0       0       0
a 601888 601889   0.19 cb           443 1.0  67       0       0       0
a 601888 601896   0.27 cb           443 1.0  67       0       0       0
a 601889 601807   0.38 cb           443 1.0  66       0       0       0
a 601889 601837   0.11 cb           443 1.0  67       0       0       0
a 601889 601888   0.19 cb           443 1.0  67       0       0       0
a 601893 721189   0.20 cg           900 1.0  95       0       0       0
a 601893 601886   0.36 cb           343 2.0  67       0       0       0
a 601893 601895   0.31 cb           343 2.0  67       0       0       0
a 601895 720189   0.40 cg           900 1.0  95       0       0       0
a 601895 601893   0.31 cb           343 2.0  67       0       0       0
a 601895 601904   0.15 cb           343 2.0  67       0       0       0
a 601896 601887   0.23 cb           443 1.0  67       0       0       0
a 601902 601038   0.51 cb           243 2.0  66       0       0       0
a 601902 601903   0.57 cb           243 2.0  66       0       0       0
a 601903 720190   0.20 cg           900 1.0  95       0       0       0
a 601903 601902   0.57 cb           243 2.0  66       0       0       0
a 601903 601904   0.17 cb           243 2.0  66       0       0       0
a 601904 601895   0.15 cb           343 2.0  67       0       0       0
a 601904 601903   0.17 cb           243 2.0  66       0       0       0
a 601904 601908   0.21 cb           243 3.0  65       0       0       0
a 601905 601906   0.19 cb           243 3.0  65       0       0       0
a 601905 601908   0.15 cb           243 3.0  65       0       0       0
a 601905 601912   0.31 cb           443 1.0  67       0       0       0
a 601906 601905   0.19 cb           243 3.0  65       0       0       0
a 601906 682015   0.23 cb           243 2.0  65       0       0       9
a 601907 601024   0.09 cb           343 1.0  66       0       0       0
a 601907 601029   0.08 cb           343 1.0  67       0       0       0
a 601907 601036   0.13 cb           343 1.0  67       0       0       0
a 601908 601904   0.21 cb           243 3.0  65       0       0       0
a 601908 601905   0.15 cb           243 3.0  65       0       0       0
a 601912 720191   0.15 cg           900 1.0  95       0       0       0
a 601912 601905   0.31 cb           443 1.0  67       0       0       0
a 601912 601913   0.15 cb           443 1.0  66       0       0       0
a 601913 722192   0.22 c            900 1.0  95       0       0       0
a 601913 601912   0.15 cb           443 1.0  66       0       0       0
a 601913 601922   0.28 cb           443 1.0  66       0       0       0
a 601922 601913   0.28 cb           443 1.0  66       0       0       0
a 601932 720193   0.22 cg           900 1.0  95       0       0       0
a 601932 601933   0.50 cb           243 2.0  68       0       0       0
a 601932 682015   0.15 cb           243 2.0  65       0       0       0
a 601932 682016   0.23 cb           442 1.0  65       0       0       0
a 601933 601932   0.50 cb           243 2.0  68       0       0       0
a 601933 601934   0.06 cb           243 2.0  69       0       0       0
a 601933 682068   0.13 cb           232 1.0  65       0       0       0
a 601934 601933   0.06 cb           243 2.0  69       0       0       0
a 601934 682053   0.08 cb           232 2.0  69       0       0       0
a 601934 682068   0.11 cb           232 2.0  68       0       0       0
a 601935 682066   0.17 cb           232 2.0  72       0       0       0
a 601935 682068   0.29 cb           232 2.0  72       0       0       0
a 601935 682073   0.07 cb           332 2.0  65       0       0       0
a 601942 721194   0.65 c            900 1.0  95       0       0       0
a 601942 601943   0.61 cb           232 1.0  65       0       0       0
a 601942 603426   0.50 cb           132 3.0  72       0       0       0
a 601942 682066   0.47 cb           232 3.0  72       0       0       0
a 601943 601942   0.61 cb           232 1.0  65       0       0       0
a 601943 603422   0.53 cb           342 1.0  65       0       0       0
a 601944 720194   0.51 c            900 1.0  95       0       0       0
a 601944 601867   0.52 cb           342 1.0  65       0       0       9
a 601944 603422   0.33 cb           342 1.0  65       0       0       0
a 602012 602015   0.28 cb           442 1.0  65       0       0       0
a 602012 602016   0.24 cb           442 1.0  65       0       0       0
a 602013 710201   0.50 c            900 1.0  95       0       0       0
a 602013 602016   0.11 cb           342 1.0  65       0       0       0
a 602013 602017   0.63 cb           232 2.0  69       0       0       0
a 602013 602042   0.50 cb           232 3.0  65       0       0       0
a 602015 602012   0.28 cb           442 1.0  65       0       0       0
a 602015 602022   0.15 cb           442 1.0  65       0       0       0
a 602016 602012   0.24 cb           442 1.0  65       0       0       0
a 602016 602013   0.11 cb           342 1.0  65       0       0       0
a 602016 602052   0.36 cb           342 1.0  65       0       0       0
a 602017 602013   0.63 cb           232 2.0  69       0       0       0
a 602017 602023   0.17 cb           232 2.0  69       0       0       0
a 602022 710203   0.73 cg           900 1.0  95       0       0       0
a 602022 602015   0.15 cb           442 1.0  65       0       0       0
a 602022 602024   0.80 cb           442 1.0  67       0       0       0
a 602022 602044   0.40 cb           442 1.0  67       0       0       0
a 602023 710202   0.60 c            900 1.0  95       0       0       0
a 602023 602017   0.17 cb           232 2.0  69       0       0       0
a 602023 602024   0.11 cb           442 1.0  67       0       0       0
a 602023 602025   0.29 cb           243 2.0  69       0       0       0
a 602024 602022   0.80 cb           442 1.0  67       0       0       0
a 602024 602023   0.11 cb           442 1.0  67       0       0       0
a 602025 710286   0.60 cg           900 1.0  95       0       0       0
a 602025 601708   0.93 cb           243 2.0  69       0       0       0
a 602025 602023   0.29 cb           243 2.0  69       0       0       0
a 602042 710202   0.80 c            900 1.0  95       0       0       0
a 602042 710204   0.30 cg           900 1.0  95       0       0       0
a 602042 710211   0.40 c            900 1.0  95       0       0       0
a 602042 602013   0.50 cb           232 3.0  65       0       0       0
a 602042 602044   0.37 cb           442 1.0  67       0       0       0
a 602042 602163   0.97 cb           232 2.0  68       0       0       0
a 602042 602442   0.92 cb           232 2.0  65       0       0       0
a 602044 602022   0.40 cb           442 1.0  67       0       0       0
a 602044 602042   0.37 cb           442 1.0  67       0       0       0
a 602052 710205   0.30 cg           900 1.0  95       0       0       0
a 602052 710206   0.40 cg           900 1.0  95       0       0       0
a 602052 602016   0.36 cb           342 1.0  65       0       0       0
a 602052 602055   0.41 cb           342 1.0  65       0       0       0
a 602054 602055   0.22 cb           342 1.0  65       0       0       0
a 602054 602124   0.50 cb           342 1.0  65       0       0       0
a 602055 602052   0.41 cb           342 1.0  65       0       0       0
a 602055 602054   0.22 cb           342 1.0  65       0       0       0
a 602092 710208   0.40 cg           900 1.0  95       0       0       0
a 602092 710209   0.15 c            900 1.0  95       0       0       0
a 602092 710288   0.84 c            900 1.0  95       0       0       0
a 602092 602093   0.40 cb           342 1.0  65       0       0       0
a 602092 602105   0.51 cb           342 1.0  65       0       0       0
a 602093 602092   0.40 cb           342 1.0  65       0       0       0
a 602093 602124   0.60 cb           342 1.0  65       0       0       0
a 602093 602125   0.16 cb           442 1.0  65       0       0       0
a 602102 602106   0.24 cb           342 1.0  65       0       0       0
a 602102 602195   0.44 cb           342 1.0  65       0       0       0
a 602103 710210   0.40 cg           900 1.0  95       0       0       0
a 602103 710288   0.95 cg           900 1.0  95       0       0       0
a 602103 602104   0.82 cb           232 1.0  65       0       0       0
a 602103 602106   0.49 cb           342 1.0  65       0       0       0
a 602103 625012   1.76 cb           231 1.0  68       0       0       0
a 602104 710213   0.50 c            900 1.0  95       0       0       0
a 602104 710214   0.20 c            900 1.0  95       0       0       0
a 602104 710215   0.20 c            900 1.0  95       0       0       0
a 602104 602103   0.82 cb           232 1.0  65       0       0       0
a 602104 602105   0.39 cb           342 1.0  65       0       0       0
a 602104 602152   0.50 cb           232 1.0  65       0       0       0
a 602104 602176   0.75 cb           342 1.0  65       0       0       0
a 602105 602092   0.51 cb           342 1.0  65       0       0       0
a 602105 602104   0.39 cb           342 1.0  65       0       0       0
a 602106 602102   0.24 cb           342 1.0  65       0       0       0
a 602106 602103   0.49 cb           342 1.0  65       0       0       0
a 602122 710212   0.20 cg           900 1.0  95       0       0       0
a 602122 602163   0.24 cb           442 1.0  65       0       0       0
a 602124 710206   0.50 cg           900 1.0  95       0       0       0
a 602124 710207   0.40 cg           900 1.0  95       0       0       0
a 602124 710211   0.50 c            900 1.0  95       0       0       0
a 602124 602054   0.50 cb           342 1.0  65       0       0       0
a 602124 602093   0.60 cb           342 1.0  65       0       0       0
a 602125 710287   0.25 cg           900 1.0  95       0       0       0
a 602125 602093   0.16 cb           442 1.0  65       0       0       0
a 602142 602192   0.41 cb           342 1.0  65       0       0       0
a 602142 602194   0.38 cb           342 1.0  65       0       0       0
a 602152 602104   0.50 cb           232 1.0  65       0       0       0
a 602152 602162   0.23 cb           232 2.0  66       0       0       0
a 602162 710216   0.40 c            900 1.0  95       0       0       0
a 602162 602152   0.23 cb           232 2.0  66       0       0       0
a 602162 602163   0.80 cb           232 2.0  68       0       0       0
a 602162 602164   0.72 cb           242 1.0  65       0       0       0
a 602162 602167   0.23 cb           342 1.0  65       0       0       0
a 602162 602176   0.65 cb           232 2.0  68       0       0       0
a 602163 710213   0.40 c            900 1.0  95       0       0       0
a 602163 602042   0.97 cb           232 2.0  69       0       0       0
a 602163 602122   0.24 cb           442 1.0  65       0       0       0
a 602163 602162   0.80 cb           232 2.0  68       0       0       0
a 602163 602165   0.17 cb           442 1.0  65       0       0       0
a 602164 602162   0.72 cb           242 1.4  65       0       0       0
a 602164 602166   0.12 cb           442 1.0  65       0       0       0
a 602164 602443   0.53 cb           242 1.0  65       0       0       0
a 602165 710216   0.40 c            900 1.0  95       0       0       0
a 602165 602163   0.17 cb           442 1.0  65       0       0       0
a 602165 602166   0.27 cb           442 1.0  65       0       0       0
a 602166 602164   0.12 cb           442 1.0  65       0       0       0
a 602166 602165   0.27 cb           442 1.0  65       0       0       0
a 602167 602162   0.23 cb           342 1.0  65       0       0       0
a 602167 602402   1.91 cb           342 1.0  65       0       0       0
a 602172 710220   0.70 c            900 1.0  95       0       0       0
a 602172 710221   1.00 c            900 1.0  95       0       0       0
a 602172 710224   0.50 c            900 1.0  95       0       0       0
a 602172 602173   0.76 cb           232 2.0  68       0       0       0
a 602172 602242   1.05 cb           232 2.0  68       0       0       0
a 602172 602395   0.35 cb           342 1.0  65       0       0       0
a 602173 710219   0.50 cg           900 1.0  95       0       0       0
a 602173 710220   0.70 c            900 1.0  95       0       0       0
a 602173 602172   0.76 cb           232 2.0  68       0       0       0
a 602173 602174   1.13 cb           232 2.0  68       0       0       0
a 602173 602182   0.71 cb           342 1.0  65       0       0       0
a 602173 602192   0.85 cb           342 1.0  65       0       0       0
a 602174 710217   0.43 c            900 1.0  95       0       0       0
a 602174 710282   0.40 c            900 1.0  95       0       0       0
a 602174 602173   1.13 cb           232 2.0  68       0       0       0
a 602174 602175   1.00 cb           232 2.0  68       0       0       0
a 602175 710218   0.70 c            900 1.0  95       0       0       0
a 602175 710282   0.40 c            900 1.0  95       0       0       0
a 602175 710283   0.12 cg           900 1.0  95       0       0       0
a 602175 602174   1.00 cb           232 2.0  68       0       0       0
a 602175 602176   0.30 cb           232 2.0  68       0       0       0
a 602175 602182   1.63 cb           342 1.0  65       0       0       0
a 602176 602104   0.75 cb           342 1.0  65       0       0       0
a 602176 602162   0.65 cb           232 2.0  68       0       0       0
a 602176 602175   0.30 cb           232 2.0  68       0       0       0
a 602182 710217   0.30 cg           900 1.0  95       0       0       0
a 602182 710218   0.30 cg           900 1.0  95       0       0       0
a 602182 602173   0.71 cb           342 1.0  65       0       0       0
a 602182 602175   1.63 cb           342 1.0  65       0       0       0
a 602182 602393   0.80 cb           342 1.0  65       0       0       0
a 602192 710285   0.60 cg           900 1.0  95       0       0       0
a 602192 602142   0.41 cb           342 1.0  65       0       0       0
a 602192 602173   0.85 cb           342 1.0  65       0       0       0
a 602194 602142   0.38 cb           342 1.0  65       0       0       0
a 602194 602195   0.55 cb           342 1.0  65       0       0       0
a 602195 710284   0.16 c            900 1.0  95       0       0       0
a 602195 602102   0.44 cb           342 1.0  65       0       0       0
a 602195 602194   0.55 cb           342 1.0  65       0       0       0
a 602212 602394   0.46 cb           342 1.0  65       0       0       0
a 602212 602395   0.27 cb           342 1.0  65       0       0       0
a 602213 710221   0.50 cg           900 1.0  95       0       0       0
a 602213 710222   0.50 cg           900 1.0  95       0       0       0
a 602213 602215   0.32 cb           342 1.0  65       0       0       0
a 602213 602263   0.27 cb           442 1.0  67       0       0       0
a 602213 602275   0.50 cb           342 1.0  66       0       0       0
a 602215 602213   0.32 cb           342 1.0  65       0       0       0
a 602215 602242   0.10 cb           342 1.0  65       0       0       0
a 602222 602223   0.33 cb           342 1.0  65       0       0       0
a 602222 602225   0.29 cb           342 1.0  65       0       0       0
a 602222 602275   0.48 cb           342 1.0  66       0       0       0
a 602223 710222   0.40 cg           900 1.0  95       0       0       0
a 602223 710223   0.40 cg           900 1.0  95       0       0       0
a 602223 602222   0.33 cb           342 1.0  65       0       0       0
a 602223 602224   0.27 cb           342 1.0  65       0       0       0
a 602224 710239   0.80 cg           900 1.0  95       0       0       0
a 602224 602223   0.27 cb           342 1.0  65       0       0       0
a 602224 602394   0.16 cb           342 1.0  65       0       0       0
a 602225 710252   0.70 c            900 1.0  95       0       0       0
a 602225 602222   0.29 cb           342 1.0  65       0       0       0
a 602225 602522   0.71 cb           342 1.0  65       0       0       0
a 602232 710250   0.50 cg           900 1.0  95       0       0       0
a 602232 710251   0.40 cg           900 1.0  95       0       0       0
a 602232 602393   0.85 cb           342 1.0  65       0       0       0
a 602232 602486   0.86 cb           342 1.0  66       0       0       0
a 602232 602522   1.15 cb           342 1.0  65       0       0       0
a 602242 710224   0.30 c            900 1.0  95       0       0       0
a 602242 710229   0.40 cg           900 1.0  95       0       0       0
a 602242 602172   1.05 cb           232 2.0  68       0       0       0
a 602242 602215   0.10 cb           342 1.0  65       0       0       0
a 602242 602293   0.94 cb           232 2.0  68       0       0       0
a 602262 710226   0.80 c            900 1.0  95       0       0       0
a 602262 602265   0.69 cb           442 1.0  65       0       0       0
a 602262 602282   0.67 cb           232 1.0  68       0       0       0
a 602262 602283   0.55 cb           342 2.0  68       0       0       0
a 602262 602293   0.24 cb           232 2.0  68       0       0       0
a 602262 602305   0.16 cb           442 1.0  65       0       0       0
a 602263 710225   0.15 cg           900 1.0  95       0       0       0
a 602263 710226   0.80 cg           900 1.0  95       0       0       0
a 602263 602213   0.27 cb           442 1.0  67       0       0       0
a 602263 602264   0.40 cb           442 1.0  65       0       0       0
a 602263 602265   0.17 cb           442 1.0  65       0       0       0
a 602264 710227   0.10 cg           900 1.0  95       0       0       0
a 602264 602263   0.40 cb           442 1.0  65       0       0       0
a 602264 602276   0.26 cb           442 1.0  65       0       0       0
a 602265 602262   0.69 cb           442 1.0  65       0       0       0
